,date,sentimentCoef,price,volume,priceDl,volumeDl,complex
0,2016-02-24,-0.22520005080655406,5867.200195,834682500,0.8605203759347815,1.339186440416907,(0.8605203759347815+1.339186440416907j)
1,2016-02-25,-0.2146431393205162,6012.799805,999956900,0.881874927845236,1.6043570117755255,(0.881874927845236+1.6043570117755255j)
2,2016-02-26,-0.23317355702017176,6096.0,858937600,0.8940775902224736,1.3781019574320068,(0.8940775902224736+1.3781019574320068j)
3,2016-02-29,-0.20287868403015763,6097.100098,941705500,0.8942389374942663,1.5108969416107605,(0.8942389374942663+1.5108969416107605j)
4,2016-03-01,-0.20038605380624924,6152.899902,933626200,0.9024228866896742,1.4979343013157258,(0.9024228866896742+1.4979343013157258j)
5,2016-03-02,-0.2536986301369863,6147.100098,904552300,0.901572251062364,1.451287375508563,(0.901572251062364+1.451287375508563j)
6,2016-03-03,-0.182906127991852,6130.5,902840400,0.899137576584461,1.4485407583609053,(0.899137576584461+1.4485407583609053j)
7,2016-03-04,-0.19491212977755928,6199.399902,866051300,0.9092428683080052,1.38951536382449,(0.9092428683080052+1.38951536382449j)
8,2016-03-07,-0.21759010220548683,6182.399902,817955900,0.9067495416948519,1.312349845766513,(0.9067495416948519+1.312349845766513j)
9,2016-03-08,-0.24151343705799153,6125.399902,913517000,0.8983895642272205,1.4656705747279133,(0.8983895642272205+1.4656705747279133j)
10,2016-03-09,-0.2718505859375,6146.299805,758331300,0.9014548750720569,1.216686577595344,(0.9014548750720569+1.216686577595344j)
11,2016-03-10,-0.23355000570190443,6036.700195,1056246900,0.8853803089306327,1.6946701604650782,(0.8853803089306327+1.6946701604650782j)
12,2016-03-11,-0.2208581349206349,6139.799805,721703700,0.9005015443082043,1.157920297884179,(0.9005015443082043+1.157920297884179j)
13,2016-03-14,-0.24168297455968688,6174.600098,688585100,0.9056055735248179,1.1047839495773781,(0.9056055735248179+1.1047839495773781j)
14,2016-03-15,-0.23912480580010356,6140.0,700313300,0.9005309061623996,1.1236009804969165,(0.9005309061623996+1.1236009804969165j)
15,2016-03-16,-0.25210686749148287,6175.5,700761300,0.905737558795749,1.1243197634177358,(0.905737558795749+1.1243197634177358j)
16,2016-03-17,-0.2331487492839412,6201.100098,832614900,0.9094922297159096,1.3358691288832327,(0.9094922297159096+1.3358691288832327j)
17,2016-03-18,-0.20133481646273638,6189.600098,1129194800,0.9078055675952471,1.8117096797276584,(0.9078055675952471+1.8117096797276584j)
18,2016-03-21,-0.1781750924784217,6184.600098,532073700,0.9070722362384374,0.8536729646811251,(0.9070722362384374+0.8536729646811251j)
19,2016-03-22,-0.050033547397680435,6192.700195,738984400,0.9082602472630976,1.185645905071238,(0.9082602472630976+1.185645905071238j)
20,2016-03-23,-0.18976674191121143,6199.100098,621495500,0.9091988971731857,0.9971436401028244,(0.9091988971731857+0.9971436401028244j)
21,2016-03-24,-0.18573028315469525,6106.5,625282200,0.8956175860717741,1.0032191206525265,(0.8956175860717741+1.0032191206525265j)
22,2016-03-29,-0.20062451209992194,6105.899902,596325500,0.8955295719356624,0.9567602335916139,(0.8955295719356624+0.9567602335916139j)
23,2016-03-30,-0.17712418300653596,6203.200195,803811000,0.909800243112398,1.2896553981399566,(0.909800243112398+1.2896553981399566j)
24,2016-03-31,-0.17392750249418024,6174.899902,746399600,0.9056495446596372,1.197543045951728,(0.9056495446596372+1.197543045951728j)
25,2016-04-01,-0.20353982300884957,6146.100098,747479000,0.9014255847910021,1.199274863551577,(0.9014255847910021+1.199274863551577j)
26,2016-04-04,-0.21664708843765731,6164.700195,546684700,0.9041535916649629,0.8771152353420428,(0.9041535916649629+0.8771152353420428j)
27,2016-04-05,-0.21663379355687049,6091.200195,826023000,0.8933736207198592,1.3252929120623647,(0.8933736207198592+1.3252929120623647j)
28,2016-04-06,-0.20760353021045486,6161.600098,738661300,0.9036989119971124,1.1851275149781204,(0.9036989119971124+1.1851275149781204j)
29,2016-04-07,-0.22457418529093237,6136.899902,761729900,0.900076226347883,1.222139380351363,(0.900076226347883+1.222139380351363j)
30,2016-04-08,-0.2144199555783359,6204.399902,622127800,0.9099761996648149,0.9981581187654005,(0.9099761996648149+0.9981581187654005j)
31,2016-04-11,-0.24236497668120957,6200.100098,552586500,0.9093455634445476,0.8865842376681399,(0.9093455634445476+0.8865842376681399j)
32,2016-04-12,-0.2105920799692426,6242.399902,690137700,0.9155495179765691,1.1072749816373426,(0.9155495179765691+1.1072749816373426j)
33,2016-04-13,-0.24206046054785552,6362.899902,957136100,0.9332228036756847,1.5356541999544984,(0.9332228036756847+1.5356541999544984j)
34,2016-04-14,-0.23291896438919527,6365.100098,853106400,0.9335454982192701,1.3687462275929854,(0.9335454982192701+1.3687462275929854j)
35,2016-04-15,-0.2295658613348144,6343.799805,780841700,0.930421463666043,1.2528028522846548,(0.930421463666043+1.2528028522846548j)
36,2016-04-18,-0.1836480597634364,6353.5,613394400,0.9318441550981769,0.9841460233174463,(0.9318441550981769+0.9841460233174463j)
37,2016-04-19,-0.23111146420910464,6405.399902,808478400,0.9394561202085677,1.2971438968110105,(0.9394561202085677+1.2971438968110105j)
